Original_Structure_Number,Field_Structure_Number,Lamp_Condition_ID,Pole_Inspection_Date,Work_Packet
2119111E,2119111E,ON,2_21_07 12-39-06 AM,Oj_102
2333030E,2333030E,ON,2_21_07 12-39-06 AM,Oj_102
2148446E,2148446E,ON,2_21_07 12-39-06 AM,Oj_102
2119905E,2119905E,ON,2_21_07 12-39-06 AM,Oj_102
2120040E,2120040E,ON,2_21_07 12-39-06 AM,Oj_102
2318765E,2318765E,ON,2_21_07 12-39-06 AM,Oj_102
1956693E,1956693E,ON,2_21_07 12-39-06 AM,Oj_102
4437789E,4437789E,ON,2_21_07 12-39-06 AM,Oj_102
2148421E,2148421E,ON,2_21_07 12-39-06 AM,Oj_102
2258142E,2258142E,ON,2_21_07 12-39-06 AM,Oj_102
4288054E,4288054E,CYCLING,2_20_07 8-57-07 PM,Oj_102
2148129E,2148129E,ON,2_21_07 12-39-06 AM,Oj_102
4400689E,4400689E,ON,2_21_07 12-39-06 AM,Oj_102
4400689E,4400689E,ON,2_21_07 12-39-06 AM,Oj_102
2148122E,2148122E,ON,2_21_07 12-39-06 AM,Oj_102
2148122E,2148122E,ON,2_21_07 12-39-06 AM,Oj_102
2318459E,2318459E,ON,2_21_07 12-39-06 AM,Oj_102
2318459E,2318459E,ON,2_21_07 12-39-06 AM,Oj_102
1956696E,1956696E,ON,2_21_07 12-39-06 AM,Oj_102
2195847E,2195847E,ON,2_21_07 12-39-06 AM,Oj_102
2258684E,2258684E,ON,2_21_07 12-39-06 AM,Oj_102
2148426E,2148426E,ON,2_21_07 12-39-06 AM,Oj_102
2120101E,2120101E,ON,2_21_07 12-39-06 AM,Oj_102
4609116E,4609116E,ON,2_21_07 12-39-06 AM,Oj_102
2119061E,2119061E,ON,2_21_07 12-39-06 AM,Oj_102
2258105E,2258105E,ON,2_21_07 12-39-06 AM,Oj_102
1956695E,1956695E,ON,2_21_07 12-39-06 AM,Oj_102
2119234E,2119234E,ON,2_21_07 12-39-06 AM,Oj_102
4229321E,4229321E,ON,2_21_07 12-39-06 AM,Oj_102
4229321E,4229321E,ON,2_21_07 12-39-06 AM,Oj_102
2120048E,2120048E,ON,2_21_07 12-39-06 AM,Oj_102
2118881E,2118881E,ON,2_21_07 12-39-06 AM,Oj_102
2318482E,2318482E,ON,2_21_07 12-39-06 AM,Oj_102
2118887E,2118887E,ON,2_21_07 12-39-06 AM,Oj_102
2258675E,2258675E,ON,2_21_07 12-39-06 AM,Oj_102
2119916E,2119916E,ON,2_21_07 12-39-06 AM,Oj_102
4169980E,4169980E,ON,2_21_07 12-39-06 AM,Oj_102
2119154E,2119154E,ON,2_21_07 12-39-06 AM,Oj_102
2258691E,2258691E,ON,2_21_07 12-39-06 AM,Oj_102
2258537E,2258537E,ON,2_21_07 12-39-06 AM,Oj_102
2149612E,2149612E,ON,2_21_07 12-39-06 AM,Oj_102
2149612E,2149612E,ON,2_21_07 12-39-06 AM,Oj_102
2149138E,2149138E,ON,2_21_07 12-39-06 AM,Oj_102
2149272E,2149272E,ON,2_21_07 12-39-06 AM,Oj_102
2333413E,2333413E,ON,2_21_07 12-39-06 AM,Oj_102
2194743E,2194743E,ON,2_21_07 12-39-06 AM,Oj_102
2333643E,2333643E,ON,2_21_07 12-39-06 AM,Oj_102
1945472E,1945472E,ON,2_21_07 12-39-06 AM,Oj_102
2258668E,2258668E,ON,2_21_07 12-39-06 AM,Oj_102
2333114E,2333114E,ON,2_21_07 12-39-06 AM,Oj_102
2149201E,2149201E,ON,2_21_07 12-39-06 AM,Oj_102
2119114E,2119114E,ON,2_21_07 12-39-06 AM,Oj_102
2258291E,2258291E,ON,2_21_07 12-39-06 AM,Oj_102
