Original_Structure_Number,Field_Structure_Number,Pole_XY_Coordinate,Lens_Type
4585310E,4585310E,1237575.9723268;12331410.720725,FLAT
4585321E,4585321E,1237543.35816461;12332055.0672176,FLAT
4585836E,4585836E,1240225.54979174;12327010.5158916,FLAT
4596182E,4596182E,1238513.68964734;12331628.4996805,FLAT
4596188E,4596188E,1239317.31388018;12331607.0515373,FLAT
4596441E,4596441E,1240949.98381207;12330289.983729,FLAT
520610E,520610E,1238968.26521126;12331215.6382299,DROP
708166H,708166H,1239719.29004971;12333377.6056533,DROP
CONV235410,4585599E,1239516.74783936;12332411.3591659,FLAT
1195310E,1195310E,1227305.43492734;12325431.0460992,DROP
1195331E,1195331E,1226073.49940845;12327655.7073883,DROP
1423411E,1423411E,1231740.77085245;12324187.4471314,DROP
1541371E,1541371E,1229635.56737992;12324537.7641938,DROP
1714064E,1714064E,1228058.29716776;12325734.127269,DROP
185253E,185253E,1230969.83705522;12324570.4197444,FLAT
1892924E,1892924E,1226329.51490509;12325310.1957442,DROP
3247904E,3247904E,1235618.18929099;12324793.9774114,DROP
4087113E,4087113E,1225295.26901717;12325631.0504326,DROP
4121279E,4121279E,1226343.1894673;12324556.5510592,DROP
4192652E,4192652E,1234191.74592186;12325399.4056831,DROP
4471074E,4471074E,1234196.07403687;12325633.2761296,DROP
4595106E,4595106E,1232747.4011979;12326307.0518738,FLAT
4595567E,4595567E,1228712.74294017;12326409.3268056,FLAT
4595599E,4585026E,1232843.6049549;12325184.9942215,FLAT
4595979E,4595979E,1231471.00084535;12325510.7973134,FLAT
4656886E,4656886E,1235628.80292011;12325379.7685005,FLAT
4705947E,4705947E,1230391.90871463;12324262.9658199,DROP
CONV569788,CONV569788,1234241.15311478;12325470.7948332,DROP
CONV570984,4178859E,1226968.5406249;12325820.2821618,DROP
CONV591087,1767705E,1231294.31757064;12326072.0270273,DROP
,1541365E,1228623.09186226;12324556.4929397,DROP
1037450E,1037450E,1236686.70961153;12325075.7538475,FLAT
1085580E,1085580E,1237705.69060567;12325313.7810764,FLAT
4418513E,4418513E,1239825.29425741;12323115.9275612,FLAT
4419284E,4419284E,1242229.28490046;12325710.9305282,DROP
4595457E,4595457E,1235779.85020339;12324506.834551,FLAT
4595458E,4595458E,1235963.34280249;12324509.1471803,FLAT
4595459E,4595459E,1236126.31210161;12324500.411351,FLAT
728760E,728760E,1242095.57664637;12324962.7629754,DROP
906483E,906483E,1240898.16753532;12323996.4493543,DROP
998413E,998413E,1240728.28013851;12323772.6863302,DROP
998457E,998457E,1238330.3530025;12324062.8181248,DROP
CONV569107,998459E,1238337.06710056;12324271.7041994,DROP
1912085E,1912085E,1364352.59660491;12239783.3140484,DROP
1912086E,1912086E,1364259.85856149;12239749.6637061,DROP
1912087E,1912087E,1364133.67695721;12239779.76122,DROP
2023381E,2023381E,1361408.34463499;12238288.9642019,DROP
2023427E,2023427E,1365454.28084271;12238291.9662838,DROP
2023477E,2023477E,1361285.26483657;12234871.9116591,DROP
2061458E,2061458E,1363266.92662135;12238293.9461738,DROP
2083158E,2083158E,1367202.25143855;12240148.4749912,DROP
2083184E,2083184E,1363471.56552229;12235459.1814568,DROP
2095935E,2095935E,1366676.89578971;12240217.7206597,DROP
2095946E,2095946E,1362942.25383952;12238817.8964684,DROP
2096476E,2096476E,1364403.59991643;12234295.1123281,DROP
2146027E,2146027E,1360970.90048551;12239702.266055,DROP
2146108E,2146108E,1360215.22068686;12237736.4426605,DROP
2159329E,2159329E,1362584.98590822;12235150.9589451,DROP
2159330E,2159330E,1362680.69541743;12235469.5572895,DROP
2194264E,2194264E,1359567.61291957;12237141.9943366,DROP
2256819E,2256819E,1363300.21329151;12235093.0605286,DROP
2286013E,2286013E,1364471.05216871;12239996.1006711,DROP
2340973E,2340973E,1360853.02616332;12238162.8655464,DROP
2340977E,2340977E,1360853.6562306;12237316.4571429,DROP
2340985E,2340985E,1360865.12544624;12236741.3211298,DROP
4024163E,4024163E,1360816.89605787;12238400.9161981,FLAT
4024175E,4024175E,1360825.15938245;12239677.9472381,DROP
4024681E,4024681E,1360826.57701231;12237382.8791756,DROP
4110748E,4110748E,1367266.42257819;12234214.4931122,DROP
4247822E,4247822E,1363979.75491908;12239774.6679514,DROP
4288320E,4288320E,1364411.66289785;12234567.0982939,DROP
4461134E,4461134E,1361512.50109316;12235821.1608948,DROP
4461135E,4461135E,1361370.58804005;12235814.1528891,DROP
4461136E,4461136E,1361222.62395225;12235814.1013533,DROP
4469950E,4469950E,1367545.07770761;12235078.7087166,DROP
4473298E,4473298E,1361828.514579;12234876.8302932,DROP
4473307E,4473307E,1362943.64099837;12238965.5523059,FLAT
4522253E,4522253E,1368969.58497744;12235695.7078321,N/A
4619887E,4619887E,1363185.08287776;12239798.0759384,DROP
4696978E,4696978E,1360626.93979449;12240180.8313455,DROP
4696979E,4696979E,1360703.60814645;12240209.4137275,DROP
CONV478330,2061917E,1367570.31218843;12237830.4618982,DROP
1234408E,1234408E,1336254.72286717;12263193.9448073,DROP
1288464E,1288464E,1329143.40573822;12267586.5048322,DROP
1288469E,1288469E,1330251.49476733;12267541.6101072,DROP
1288470E,1288470E,1330432.06861974;12267550.3786092,DROP
1301930E,1301930E,1332416.99050793;12267529.6863059,DROP
1301935E,1301935E,1331352.04259773;12267577.0180909,DROP
1315304E,1315304E,1332114.1264579;12264837.2162592,FLAT
1316007E,1316007E,1329703.26658488;12266738.6782172,DROP
1326165E,1326165E,1326918.95991466;12267656.2378152,DROP
1326197E,1326197E,1329681.14678431;12267604.3066796,DROP
1326198E,1326198E,1329456.10035084;12267618.7083453,DROP
1326225E,1326225E,1333306.56535393;12268264.7956762,DROP
1326827E,1326827E,1325199.99059346;12268348.4166496,DROP
1350886E,1350886E,1336244.64307114;12265465.2999359,DROP
1351189E,1351189E,1330689.4153971;12268858.847572,DROP
1351268E,1351268E,1332490.11156681;12267596.2227599,DROP
1351288E,1351288E,1331516.64763232;12267575.4113754,DROP
1360368E,1360368E,1330663.98880205;12265472.7918339,DROP
1360369E,1360369E,1330668.60669404;12265667.7750462,DROP
1361335E,1361335E,1333237.86410953;12264693.206814,DROP
1378933E,1378933E,1334558.67576927;12264814.5293575,DROP
1378934E,1378934E,1334725.56090213;12264824.7073877,DROP
1379196E,1379196E,1332579.85037413;12263305.8952327,DROP
1419411E,1419411E,1330536.72116565;12264102.232348,DROP
1436807E,1436807E,1328369.53389039;12266182.3764457,DROP
1445479E,1445479E,1334903.75927542;12264649.0118383,DROP
1445480E,1445480E,1334906.63452527;12264807.9937627,DROP
1447687E,1447687E,1328856.80215913;12264573.2240839,DROP
1511242E,1511242E,1326511.62099009;12265528.3890884,DROP
1590502E,1590502E,1324543.36710202;12264925.6084624,DROP
1590527E,1590527E,1324973.2002536;12264227.822316,DROP
1643078E,1643078E,1325500.94505113;12264104.5858613,DROP
1956213E,1956213E,1335426.92281758;12264889.6559768,DROP
2023305E,2023305E,1326418.35874228;12263873.1360408,DROP
2061321E,2061321E,1333231.60410805;12264165.2941636,DROP
2061748E,2061748E,1334147.50157572;12264429.7116791,DROP
2061750E,2061750E,1334184.45210613;12264153.043268,DROP
2099300E,2099300E,1335683.35103892;12267503.8117155,DROP
2117601E,2117601E,1335503.41217399;12267501.5390306,DROP
2117603E,2117603E,1335141.36162478;12267521.9712784,DROP
2118080E,2118080E,1334841.70365531;12268190.6808098,DROP
2118091E,2118091E,1334621.60735536;12269483.7963572,DROP
2118093E,2118093E,1334619.99034393;12269853.6899004,DROP
2159754E,2159754E,1336193.46376603;12271284.4622721,DROP
2267265E,4520770E,1336231.30746953;12269327.2286796,DROP
4008930E,4008930E,1327072.51623457;12264534.6047369,DROP
4024769E,4024769E,1335322.41788499;12267507.2575996,DROP
4313759E,4313759E,1328033.95126801;12267689.6291996,FLAT
4474499E,4474499E,1337141.30652065;12262228.9121065,DROP
GT42714,GT42714,1334771.89962063;12263080.4720542,DROP
1787824E,1787824E,1317255.00489003;12263105.4769286,DROP
1880759E,1880759E,1318465.64853949;12264245.7713818,DROP
4417790E,4417790E,1319473.12078066;12264892.9467446,FLAT
1047713E,1047713E,1445870.94684698;12380059.9913323,N/A
1257544E,1257544E,1445887.77519726;12379433.5296463,N/A
1299127E,1299127E,1440983.33252306;12376296.7306077,DROP
1580261E,1580261E,1445177.27877968;12379468.3143101,DROP
1794737E,1794737E,1445705.05134089;12380877.9061501,DROP
1886431E,1886431E,1446304.93788584;12378751.6215377,N/A
2108578E,2108578E,1440775.48180055;12380572.5307756,DROP
2306110E,2306110E,1445214.26264738;12382306.3192936,DROP
4067746E,4067746E,1448069.41088429;12379627.1683118,DROP
4140199E,4140199E,1447567.50083536;12378207.5173657,DROP
4195732E,4195732E,1444361.73225822;12379180.6305597,N/A
4227611E,4227611E,1443329.46502129;12376544.1980489,N/A
4246804E,4246804E,1444317.70984305;12378364.3032278,N/A
4246821E,4246821E,1443987.6950861;12378759.4349803,N/A
4300957E,4300957E,1443382.64736571;12378005.3825045,N/A
4300962E,4300962E,1443342.85855159;12378305.5506475,N/A
4300963E,4300963E,1443384.79391713;12378458.8151917,N/A
4300966E,4300965E,1443384.73077141;12378842.9093325,N/A
4300970E,4300969E,1443389.16008568;12379192.4732312,N/A
4300974E,4300973E,1443380.61246931;12379433.6195035,N/A
4300975E,4300975E,1443389.57442557;12379616.2098332,N/A
4300976E,4300976E,1443341.57731114;12379595.7103082,N/A
4300978E,4300978E,1443344.79314049;12379754.150208,N/A
4300983E,4300983E,1443387.03518855;12380473.2771424,N/A
4300983E,4300983E,1443387.03518855;12380473.2771424,N/A
4300985E,4300985E,1443383.41470731;12380640.5725074,N/A
4300994E,4300994E,1443344.50081058;12381632.4387003,N/A
4308937E,4308937E,1445835.45200997;12379485.1768364,N/A
4364754E,4364754E,1444938.1005846;12382514.363293,N/A
4392533E,4392533E,1447696.41539148;12377115.4016648,DROP
4429627E,4429627E,1442018.57442556;12382568.5745603,N/A
4429647E,4429647E,1444859.06812009;12382550.366231,N/A
4429647E,4429647E,1444859.06812009;12382550.366231,N/A
4535662E,4535662E,1446486.18385625;12378785.833636,N/A
4750157E,4723744E,1447688.9942331;12378596.2040617,DROP
4769129E,4769129E,1445887.553376;12379713.876142,N/A
748959E,748959E,1447877.04845214;12377918.8570765,N/A
H3996Y,H3996Y,1448151.1995455;12378409.1090765,DROP
1483188E,1483188E,1440453.91394042;12391829.5642421,N/A
1566656E,1566656E,1438498.62315322;12389844.99802,DROP
1566658E,1566658E,1438492.42973146;12390307.7430776,DROP
1566659E,1566659E,1438534.3961699;12390484.2028673,DROP
1580273E,1580273E,1440130.11487973;12390784.5909478,DROP
1668702E,1668702E,1440494.13270447;12389484.0838745,DROP
1714759E,1714759E,1439143.47094753;12383227.2107652,DROP
1733961E,1733961E,1440471.74310936;12385137.2092692,FLAT
1864503E,1864503E,1440489.03807699;12390022.4589343,FLAT
1864537E,1864537E,1439006.16568461;12391791.2586583,DROP
1954974E,1954974E,1440144.74062943;12386527.3282197,DROP
2027036E,2027036E,1440430.74342438;12387596.8948089,DROP
2064783E,2064783E,1437582.57891857;12387660.3515305,DROP
2092458E,2092458E,1435008.73047912;12387751.8894562,DROP
2092850E,2092850E,1435319.78623258;12387347.2138285,DROP
2102797E,2102797E,1438213.56346151;12390895.5469695,DROP
2108258E,2108258E,1436390.13431257;12390030.5302882,DROP
2121133E,2121133E,1435671.75981887;12384717.5739933,DROP
2132939E,2132939E,1437621.17878716;12386248.0882932,FLAT
2153190E,2153190E,1435254.81807225;12391061.7604266,DROP
2159118E,2159118E,1437604.86063241;12391182.7017949,DROP
2306808E,2306808E,1434753.23829369;12387327.0086447,DROP
2312664E,2312664E,1436903.40489605;12391943.5427312,FLAT
2312665E,2312665E,1436600.07674455;12391965.4422937,FLAT
4394441E,4394441E,1434193.20357134;12391196.3267461,DROP
4550286E,4550286E,1438317.99899305;12387883.7057355,DROP
4703216E,4703216E,1433940.08007694;12389247.6323885,FLAT
,1483189E,1440454.13274309;12392016.2173304,DROP
1137766E,1137766E,1442016.16499475;12386873.4894594,DROP
1240652E,1240652E,1442858.57418562;12388271.9062738,DROP
1499520E,1499520E,1445539.01409849;12385032.3278682,DROP
2158962E,2158962E,1444016.10701855;12392005.5294422,DROP
2262846E,2262846E,1447644.17416556;12387839.9695797,DROP
2262847E,2262847E,1447416.72795498;12387844.5222781,DROP
2346082E,2346082E,1443421.72327677;12388378.7074548,DROP
4067744E,4067744E,1445504.52061525;12382747.3338755,DROP
4195926E,4195926E,1448692.7788447;12382872.2199047,DROP
4246933E,4246933E,1446295.76510378;12384217.1130651,DROP
4260347E,4260347E,1445996.54723003;12383451.7940824,DROP
4292682E,4292682E,1442970.60859288;12387233.8287698,DROP
4292688E,4292688E,1446344.57473899;12389826.1165602,DROP
4463786E,4463786E,1443369.01260633;12387016.7491169,N/A
4554667E,4554667E,1446349.86828242;12389765.5174754,DROP
4655769E,1566768E,1444204.23394735;12389327.4014895,DROP
788213E,788213E,1448544.2631432;12382900.2853164,DROP
905166E,905166E,1448560.89230743;12383187.4468605,DROP
1190322E,1190322E,1441639.05930603;12399229.8363904,FLAT
1922283E,1922283E,1445485.47103976;12398374.5951328,DROP
2087792E,2087792E,1441025.91604413;12395618.8658137,FLAT
2102858E,2102858E,1443391.85032109;12394575.8571635,DROP
2102866E,2102866E,1444743.10260072;12394386.9333189,DROP
2120294E,2120294E,1445237.17203213;12399594.1907352,DROP
2120295E,2120295E,1445039.41172107;12399827.363409,DROP
2120607E,2120607E,1440308.03122426;12393861.4275554,FLAT
2121218E,2121218E,1442142.91270397;12393485.2930304,DROP
2152919E,2152919E,1444866.59976103;12400059.4302746,N/A
2158861E,2158861E,1443947.69411939;12393193.1494302,DROP
2174596E,2174596E,1438801.97200128;12396628.4328867,DROP
2236205E,2236205E,1438087.75888068;12393611.4551771,DROP
2237192E,2237192E,1436594.86167822;12395666.0270338,DROP
2269486E,2269486E,1441849.86325705;12397912.8829266,FLAT
2362281E,2362281E,1440867.87159127;12393093.9915353,DROP
4018901E,4018901E,1436456.75902134;12396057.9400959,DROP
4042801E,4042801E,1437444.15109186;12397613.2299216,DROP
4123557E,4123557E,1445304.50811848;12394906.146913,DROP
4132878E,4132878E,1445738.71594008;12395789.1448374,DROP
4302900E,4302900E,1445911.26384372;12399076.3111432,DROP
4604766E,4604766E,1445094.71804412;12394388.5998293,DROP
4606767E,4606767E,1445384.31782177;12394383.7064023,DROP
639328E,639328E,1442314.12985234;12399243.8162288,FLAT
779583E,779583E,1441678.52646098;12400219.8170525,FLAT
1683427E,1683427E,1409824.01017427;12328605.3899229,FLAT
1886478E,1886478E,1409893.03259095;12327176.9145775,FLAT
200018NG,200018NG,1411804.87975535;12331894.0694128,DROP
2132713E,2132713E,1412685.11191669;12332772.4331734,FLAT
2153156E,2153156E,1411447.96109542;12334217.9405112,FLAT
4042827E,4042827E,1409820.4217076;12330754.0814486,N/A
4103658E,4103658E,1410121.58390753;12330705.0303293,FLAT
4103673E,4103673E,1411855.76202634;12330345.77277,FLAT
4103678E,4103678E,1411703.02033133;12330501.949343,FLAT
4103692E,4103692E,1411765.36809278;12328877.9186465,FLAT
4128985E,4128985E,1406525.99228277;12329659.2096311,FLAT
4407090E,4407090E,1411218.18572544;12331728.6972516,FLAT
4640939E,4640939E,1410826.1348965;12326602.1671489,N/A
